자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2022.08.13.00,242,255,495,602,725,652,822,894,556,650,1177,973,723,905,945,1236,954,462,812,813,1050,881,1076,1456,1078
2022.08.12.00,277,278,540,649,708,728,748,960,586,654,1154,1104,750,876,999,1335,962,503,881,908,1173,938,1123,1474,1018
2022.08.11.00,315,316,592,675,842,762,834,1044,648,743,1181,1116,811,952,1042,1520,960,491,999,926,1316,950,1197,1693,1047
2022.08.10.00,333,292,599,668,790,856,963,1093,713,755,1314,1194,847,975,1163,1484,1051,616,1043,1048,1225,1042,1327,1713,1215
2022.08.09.00,371,309,661,857,966,888,1196,1208,736,936,1596,1040,1093,1202,1249,1646,1237,709,1221,1229,1526,985,1558,2014,1339
2022.08.08.00,96,91,143,165,296,265,239,249,233,242,447,392,255,309,373,535,246,161,300,271,338,366,483,523,445
2022.08.07.00,262,244,388,428,602,517,668,840,524,537,969,905,593,756,782,1093,782,428,695,771,996,775,869,1128,886
2022.08.06.00,228,217,398,569,711,591,735,837,508,632,1055,920,617,755,878,1149,758,468,808,749,1086,825,1085,1271,892
2022.08.05.00,279,215,485,558,708,639,777,899,505,645,1105,862,671,763,832,1215,863,412,824,822,1107,779,969,1306,1092
2022.08.04.00,282,223,454,496,660,679,732,825,534,535,1059,958,614,826,920,1116,795,428,791,815,1057,940,974,1324,921
2022.08.03.00,305,287,515,604,877,677,805,946,569,657,1167,1071,729,881,981,1279,842,488,918,863,1253,1038,1253,1427,1025
2022.08.02.00,356,343,594,693,738,751,923,1013,578,767,1197,1020,819,1089,956,1362,917,567,1105,1007,1276,842,1230,1818,1159
2022.08.01.00,87,78,150,220,314,274,200,284,209,207,441,337,234,283,345,456,201,123,316,240,329,424,399,458,327
2022.07.31.00,190,190,274,394,452,420,521,630,367,396,767,781,424,582,681,740,525,260,520,530,759,651,756,982,692
2022.07.30.00,227,225,398,402,650,515,558,696,380,480,775,778,569,664,714,910,613,326,618,624,799,760,876,1112,799
2022.07.29.00,259,203,415,464,541,509,568,715,441,548,893,780,562,690,745,995,561,360,694,651,976,741,962,1174,803
2022.07.28.00,229,203,408,507,763,585,613,798,514,444,888,800,561,692,817,1031,703,351,654,704,924,856,1024,1156,830
2022.07.27.00,278,263,437,552,748,581,692,797,524,588,948,922,633,740,750,1137,671,377,815,806,1030,969,1074,1340,895
2022.07.26.00,323,311,628,671,799,730,720,943,543,658,1253,868,762,1005,846,1270,845,424,945,945,1238,883,1374,1648,1071
2022.07.25.00,66,52,129,134,221,173,157,198,132,149,359,361,188,208,258,426,116,78,249,215,310,374,447,394,284
2022.07.24.00,230,171,311,378,522,384,452,507,352,379,778,678,404,555,594,768,454,225,551,506,732,703,835,1039,675
2022.07.23.00,218,192,325,388,630,464,467,605,368,378,796,714,433,578,592,873,506,259,587,558,764,674,900,978,636
