자치구 기준일,종로구 추가,중구 추가,용산구 추가,성동구 추가,광진구 추가,동대문구 추가,중랑구 추가,성북구 추가,강북구 추가,도봉구 추가,노원구 추가,은평구 추가,서대문구 추가,마포구 추가,양천구 추가,강서구 추가,구로구 추가,금천구 추가,영등포구 추가,동작구 추가,관악구 추가,서추구 추가,강남구 추가,송파구 추가,강동구 추가
2022.03.08.00,405,415,642,993,1428,1571,1566,1710,1189,1394,2257,1685,1969,1300,1481,1742,1185,909,1205,1014,1482,1438,1959,2537,1587
2022.03.07.00,572,437,763,1287,1582,1359,1485,1712,973,1361,1548,1903,1112,1500,1836,2400,1598,998,1365,1618,1686,1701,1845,2781,1727
2022.03.06.00,674,645,1043,1599,1925,1827,2063,2229,1300,1514,1978,2232,1136,1872,2106,2957,2041,1107,2183,1995,2192,1595,2325,3529,2297
2022.03.05.00,671,594,1067,1638,1925,1728,1961,2353,1420,1566,2831,2395,1952,1984,2311,3137,2134,1209,2228,2094,2503,1896,2369,3604,2220
2022.03.04.00,733,635,1207,1936,2056,2125,2521,2449,1630,1692,3507,2475,2295,2310,2372,3115,2326,1644,2098,1991,2756,2457,2795,3726,2604
2022.03.03.00,440,467,734,1352,1596,1257,1253,1848,1057,1378,1687,2415,2188,1498,2193,2948,1406,1527,1529,1557,2006,1883,2088,3024,1612
2022.03.02.00,723,682,967,1703,1878,1949,2193,1974,1462,1311,1922,1638,408,1909,1569,2235,2242,442,1805,2281,2655,1741,2257,3515,2624
2022.03.01.00,302,312,459,913,1074,1136,1083,1336,781,949,1782,1070,872,1033,1594,1219,1043,945,1434,714,920,885,1452,1687,1093
2022.02.28.00,391,284,606,813,1103,924,1088,1110,723,915,1208,1307,624,1165,1261,1669,1017,519,904,1305,1168,1186,1494,2058,1181
2022.02.27.00,485,370,701,1186,1360,1320,1316,1487,963,1070,1420,1602,960,1391,1093,2113,1411,655,1527,1346,1604,1339,1692,2744,1742
2022.02.26.00,453,442,682,1222,1295,1221,1430,1420,981,1307,1708,1644,901,1373,2101,2249,1423,636,1706,1305,1774,1480,1753,2182,1637
2022.02.25.00,479,414,712,1116,1263,1197,1283,1463,1058,927,1964,1276,1118,1341,1538,1825,1314,677,1265,1387,1712,1719,2187,2366,1793
2022.02.24.00,493,454,705,1180,1300,1237,1411,1580,979,959,1541,1766,937,1294,1832,2615,1436,939,1298,1462,1739,1428,1991,2337,1814
2022.02.23.00,508,470,895,1402,1337,1307,1536,1691,1075,954,1823,2012,1185,1481,1710,2448,1369,776,1495,1593,1987,1706,2267,3112,2067
2022.02.22.00,203,248,268,731,728,714,769,890,541,734,995,1080,549,755,1103,1691,826,461,897,605,739,838,1495,1473,826
2022.02.21.00,309,217,458,723,724,640,698,812,564,650,1120,489,522,771,787,1373,743,394,663,967,662,808,1109,1727,1011
2022.02.20.00,309,234,408,808,918,889,962,926,698,787,1267,742,418,943,734,950,858,678,677,832,1272,706,1105,1413,1301
2022.02.19.00,207,283,400,770,844,762,833,980,672,720,1501,880,528,884,1033,1601,866,500,867,961,1201,939,1177,1494,1094
2022.02.18.00,350,258,493,682,862,802,1017,1095,631,946,1515,1096,711,971,975,1428,1032,597,1098,1028,1351,986,1207,1701,1247
2022.02.17.00,246,221,405,804,864,738,616,941,595,613,927,698,628,713,766,743,686,403,625,864,1104,784,1169,1218,1064
2022.02.16.00,227,179,340,639,743,771,787,917,632,566,946,707,556,759,814,542,881,277,676,753,929,764,1040,1356,1180
2022.02.15.00,182,136,218,316,453,445,415,466,349,415,821,719,469,384,617,793,397,330,425,405,385,440,819,682,528
2022.02.14.00,96,91,256,336,477,345,317,458,338,326,1153,412,260,414,491,683,421,265,383,420,590,386,632,726,588
2022.02.13.00,184,111,248,408,448,375,522,616,307,360,456,453,198,479,534,656,483,230,357,435,595,430,747,800,664
2022.02.12.00,215,120,240,237,419,471,488,537,255,401,544,693,402,490,484,992,489,297,402,503,696,510,917,738,689
2022.02.11.00,162,105,241,168,438,401,467,525,341,399,516,560,348,372,476,554,401,308,455,383,951,487,546,694,643
2022.02.10.00,92,106,217,332,457,340,287,482,235,327,703,558,435,429,482,891,467,237,446,413,666,418,841,697,724
2022.02.09.00,143,212,246,236,382,360,536,605,238,349,958,700,261,401,477,322,443,263,393,455,289,428,824,1048,474
2022.02.08.00,57,15,122,102,301,225,247,295,219,218,247,295,232,252,280,168,229,108,241,276,170,221,467,224,363
2022.02.07.00,77,94,147,53,288,217,311,289,213,222,224,272,145,258,401,316,236,155,278,340,377,315,166,695,386
2022.02.06.00,106,97,151,310,322,281,303,265,223,257,377,314,184,208,372,186,269,159,322,389,363,397,238,714,479
2022.02.05.00,106,89,160,227,284,276,242,386,203,243,499,385,170,336,359,305,341,198,296,480,588,478,261,773,436
2022.02.04.00,70,110,174,159,223,184,210,334,142,214,216,185,179,236,329,233,217,186,234,222,161,405,200,473,462
2022.02.03.00,76,72,155,149,213,160,210,260,167,205,217,145,111,222,288,149,165,48,223,256,240,213,193,423,307
2022.02.02.00,43,62,129,205,191,98,103,122,121,148,97,105,133,198,221,128,160,135,183,165,283,170,149,389,219
2022.02.01.00,41,54,96,108,170,138,163,238,107,106,197,124,105,146,197,195,140,105,141,170,185,115,286,282,213
2022.01.31.00,59,35,101,119,187,131,127,147,85,90,219,99,90,170,209,216,139,75,154,182,306,186,255,306,214
2022.01.30.00,53,56,99,122,160,138,147,167,82,118,195,197,123,162,192,211,151,66,155,193,205,187,204,286,209
2022.01.29.00,53,64,112,99,144,124,145,158,100,120,211,148,114,183,195,242,157,63,165,146,256,220,248,269,192
2022.01.28.00,52,49,110,124,180,180,119,168,73,115,172,132,120,159,216,108,140,76,159,194,205,192,257,289,166
2022.01.27.00,50,39,80,97,131,108,130,148,79,84,156,124,100,155,156,121,117,68,129,161,223,172,217,249,135
2022.01.26.00,37,34,89,88,139,73,135,164,51,63,194,117,111,143,149,58,104,62,127,145,236,128,219,176,130
2022.01.25.00,27,33,36,50,121,25,45,76,32,23,124,35,48,45,66,87,44,15,83,67,96,85,165,116,58
2022.01.24.00,39,18,46,51,76,54,39,51,28,47,54,50,68,66,67,68,46,36,57,71,112,71,140,111,71
2022.01.23.00,20,22,50,60,86,59,45,56,32,40,74,69,58,59,64,82,72,34,51,59,106,80,129,97,64
2022.01.22.00,25,39,44,39,72,67,44,45,21,27,85,66,53,62,65,73,42,29,62,60,103,71,117,96,59
2022.01.21.00,17,23,36,49,65,57,38,68,20,27,80,44,41,55,61,85,64,43,59,48,92,84,109,81,48
2022.01.20.00,19,24,34,42,38,48,46,55,28,42,76,46,41,56,57,45,57,32,46,51,84,48,99,92,40
2022.01.19.00,17,25,43,28,46,47,32,46,25,30,51,42,38,41,39,43,47,27,66,46,71,47,95,79,37
2022.01.18.00,10,10,25,16,39,14,14,31,11,18,43,24,25,22,28,36,32,19,24,32,48,37,60,48,22
2022.01.17.00,13,17,32,14,22,26,17,32,26,21,27,20,29,31,37,47,27,25,27,20,34,42,56,47,22
2022.01.16.00,6,14,32,26,33,30,32,50,14,22,43,22,49,38,34,60,39,28,32,29,60,32,55,73,16
2022.01.15.00,17,21,34,30,35,40,38,26,19,23,36,25,47,45,31,40,29,21,30,26,54,37,61,53,21
2022.01.14.00,9,23,30,27,39,44,34,36,32,32,35,29,21,36,30,31,32,21,36,28,47,62,53,52,37
2022.01.13.00,18,18,29,33,35,35,35,36,20,21,36,30,27,32,30,30,58,13,40,34,64,43,83,66,38
2022.01.12.00,12,21,41,19,45,45,33,41,16,25,27,39,41,53,26,45,51,18,39,34,70,61,100,72,46
2022.01.11.00,21,10,22,10,25,35,30,32,21,20,35,24,15,27,33,32,41,13,20,21,32,44,72,41,18
2022.01.10.00,15,22,24,21,29,43,27,40,17,20,28,28,10,26,25,33,46,21,13,24,36,33,48,55,32
2022.01.09.00,20,17,32,17,33,46,33,27,27,24,47,37,29,40,36,29,52,24,33,26,41,40,49,68,48
2022.01.08.00,28,16,24,30,41,39,41,41,21,42,51,26,30,38,29,52,46,25,26,34,52,41,68,49,43
2022.01.07.00,24,23,36,30,34,36,36,39,18,31,44,38,21,37,43,28,51,20,47,44,42,49,74,61,40
2022.01.06.00,16,23,28,33,51,54,57,39,30,32,60,43,35,31,51,48,61,30,58,32,57,47,76,76,57
2022.01.05.00,21,20,39,38,52,66,71,62,33,44,47,63,36,45,82,47,73,36,46,37,49,54,100,79,58
2022.01.04.00,13,17,23,20,28,32,46,48,37,29,47,29,28,34,37,39,38,24,28,35,47,32,57,60,49
2022.01.03.00,12,21,20,34,27,38,42,36,23,33,59,32,37,36,46,32,30,25,35,20,35,41,64,61,45
2022.01.02.00,17,26,35,27,33,36,48,48,45,36,64,53,24,45,48,41,70,33,51,35,58,46,57,82,58
2022.01.01.00,20,29,37,41,34,74,58,56,44,45,88,49,51,39,69,70,79,40,52,38,48,59,76,96,82
2021.12.31.00,24,22,38,43,61,72,68,71,58,56,91,61,44,56,74,76,62,40,78,52,70,52,86,109,106
2021.12.30.00,28,23,33,53,62,63,64,86,77,54,87,67,43,50,48,66,83,40,76,64,77,69,84,120,92
2021.12.29.00,43,33,36,42,49,98,69,82,66,52,80,107,52,55,77,102,86,54,87,73,77,71,67,86,91
2021.12.28.00,40,23,29,39,51,61,39,107,44,55,90,35,25,38,52,42,45,25,42,41,51,33,67,82,57
2021.12.27.00,30,29,31,26,43,61,71,111,59,40,94,78,44,53,55,59,30,37,42,50,77,56,69,116,57
2021.12.26.00,31,38,34,39,43,83,71,111,64,61,105,70,54,81,79,84,70,51,82,76,85,66,83,147,70
2021.12.25.00,49,26,33,56,59,72,63,79,67,72,130,101,59,82,116,89,92,41,100,88,81,84,104,127,77
2021.12.24.00,47,42,53,41,68,97,67,110,92,80,106,86,82,70,116,126,81,42,95,99,102,90,114,188,86
2021.12.23.00,49,47,57,74,87,112,84,124,91,90,149,135,82,99,110,131,100,46,127,91,131,87,141,167,102
2021.12.22.00,40,31,70,69,73,118,111,62,80,111,170,160,74,108,92,133,132,61,124,102,125,109,136,145,130
2021.12.21.00,45,26,47,43,64,84,75,89,80,71,151,150,58,44,55,94,52,43,59,94,99,61,120,102,81
2021.12.20.00,26,22,35,36,63,102,67,101,78,61,111,75,51,72,53,79,58,52,63,71,103,69,95,152,81
2021.12.19.00,36,28,53,59,63,115,99,93,63,88,68,99,50,66,76,110,97,62,105,86,96,101,132,65,109
2021.12.18.00,48,36,53,80,102,113,97,126,94,125,139,133,90,79,104,137,111,81,111,96,133,120,126,182,88
2021.12.17.00,48,29,55,79,59,162,122,95,103,88,120,128,97,78,108,154,130,91,125,101,139,89,146,178,102
2021.12.16.00,41,44,70,69,81,147,141,152,80,92,135,123,88,91,108,184,141,70,111,86,147,110,162,123,135
2021.12.15.00,39,49,61,73,72,133,149,123,91,119,162,109,112,108,116,182,164,108,131,125,176,115,127,252,138
2021.12.14.00,26,25,38,59,51,98,94,80,73,66,66,101,90,67,84,95,65,52,69,49,71,82,91,115,68
2021.12.13.00,66,28,52,54,63,111,111,160,87,82,105,128,75,72,105,119,105,60,98,74,117,97,150,175,76
2021.12.12.00,43,43,50,44,65,104,116,77,72,101,116,80,54,75,105,117,154,73,111,86,132,106,106,116,109
2021.12.11.00,35,42,50,59,91,139,103,100,58,104,118,99,57,82,97,146,105,73,134,98,112,101,124,202,130
2021.12.10.00,48,36,44,66,82,156,155,138,80,105,123,104,99,81,105,134,115,97,143,93,127,100,140,138,135
2021.12.09.00,17,33,59,34,64,111,92,98,46,96,113,164,34,81,104,142,115,88,118,105,136,102,149,135,103
2021.12.08.00,44,59,54,69,101,153,105,118,86,106,118,118,71,93,113,149,134,93,134,113,157,108,134,181,132
2021.12.07.00,57,32,50,55,54,108,96,74,123,84,163,119,87,64,58,97,58,33,78,72,79,61,99,137,44
2021.12.06.00,11,27,25,20,57,34,84,77,10,65,57,37,39,66,81,81,52,37,73,63,83,47,58,82,57
2021.12.05.00,27,33,48,37,67,101,92,90,72,57,71,54,77,60,72,114,109,54,111,90,104,54,89,129,103
2021.12.04.00,66,29,48,34,75,82,105,87,54,92,96,90,59,73,102,114,88,60,111,93,132,70,95,120,84
2021.12.03.00,29,22,50,41,74,93,83,106,72,83,75,107,68,69,84,124,61,87,111,81,101,68,65,106,93
2021.12.02.00,33,41,48,32,58,93,84,72,48,62,50,88,48,76,67,135,84,73,89,64,29,49,77,79,73
2021.12.01.00,44,36,75,55,68,103,80,88,56,70,96,102,61,88,104,65,118,60,108,102,112,57,89,125,100
2021.11.30.00,39,26,31,41,49,40,46,49,58,43,90,61,32,40,51,47,47,28,63,40,45,39,42,46,28
2021.11.29.00,33,23,37,22,40,53,47,51,59,38,44,58,53,49,58,76,66,50,73,77,79,64,43,73,42
2021.11.28.00,33,29,25,37,50,88,79,56,55,57,63,60,51,49,92,78,105,38,80,100,68,47,42,80,52
2021.11.27.00,30,38,61,34,52,101,79,67,62,53,81,98,48,49,74,98,106,58,80,106,60,43,64,78,74
2021.11.26.00,20,34,45,26,54,74,66,75,52,43,57,102,52,47,73,84,99,51,76,110,76,21,45,90,79
2021.11.25.00,50,27,33,35,50,71,67,73,79,39,67,66,38,53,99,86,83,84,97,101,82,42,49,103,67
2021.11.24.00,13,25,29,22,47,75,56,73,52,47,73,93,64,52,90,91,95,65,97,89,95,44,54,120,68
2021.11.23.00,24,20,10,37,40,34,50,69,52,43,56,45,28,33,56,76,55,29,41,55,38,44,45,57,49
2021.11.22.00,22,14,22,29,36,51,60,71,51,37,58,42,37,41,59,64,65,38,77,52,58,33,46,77,66
2021.11.21.00,28,17,25,41,45,51,40,73,41,23,72,55,28,37,67,74,66,31,69,59,63,42,52,82,62
2021.11.20.00,32,22,26,43,28,59,47,65,46,57,48,56,31,33,50,73,70,61,81,51,64,58,58,68,52
2021.11.19.00,25,34,21,28,41,74,42,90,42,60,51,61,32,43,42,80,66,55,97,47,59,31,61,78,51
2021.11.18.00,24,19,19,33,37,68,45,94,34,56,65,66,42,40,49,71,92,47,78,45,67,59,57,89,48
2021.11.17.00,35,26,23,28,34,84,56,85,35,73,66,49,39,45,69,50,89,44,65,48,80,41,46,75,71
2021.11.16.00,13,14,10,38,23,57,37,64,25,35,26,20,19,29,25,41,58,23,64,19,38,25,37,35,31
2021.11.15.00,15,14,18,23,19,44,29,55,15,26,42,30,10,21,34,43,38,19,56,31,32,27,42,51,78
2021.11.14.00,17,19,8,26,16,42,23,51,24,21,49,49,24,26,30,42,64,29,56,28,49,31,32,52,55
